url,name,tdp,mtp,pbp,AMD Configurable TDP (cTDP),GPU Base
https://ark.intel.com//content/www/us/en/ark/products/212321/intel-core-i911900kf-processor-16m-cache-up-to-5-30-ghz.html,intel core i911900kf processor 16m ,125.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/212256/intel-core-i911900t-processor-16m-cache-up-to-4-90-ghz.html,intel core i911900t processor 16m ,35.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/205904/intel-core-i910850k-processor-20m-cache-up-to-5-20-ghz.html,intel core i910850k processor 20m ,125.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/203682/intel-core-i910885h-processor-16m-cache-up-to-5-30-ghz.html,intel core i910885h processor 16m ,45.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/199328/intel-core-i910900-processor-20m-cache-up-to-5-20-ghz.html,intel core i910900 processor 20m ,65.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/203902/intel-core-i910900e-processor-20m-cache-up-to-4-70-ghz.html,intel core i910900e processor 20m ,65.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/199329/intel-core-i910900f-processor-20m-cache-up-to-5-20-ghz.html,intel core i910900f processor 20m ,65.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/199332/intel-core-i910900k-processor-20m-cache-up-to-5-30-ghz.html,intel core i910900k processor 20m ,125.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/199331/intel-core-i910900kf-processor-20m-cache-up-to-5-30-ghz.html,intel core i910900kf processor 20m ,125.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/199324/intel-core-i910900t-processor-20m-cache-up-to-4-60-ghz.html,intel core i910900t processor 20m ,35.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/203901/intel-core-i910900te-processor-20m-cache-up-to-4-60-ghz.html,intel core i910900te processor 20m ,35.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/201838/intel-core-i910980hk-processor-16m-cache-up-to-5-30-ghz.html,intel core i910980hk processor 16m ,45.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/192943/intel-core-i99900ks-processor-16m-cache-up-to-5-00-ghz.html,intel core i99900ks processor 16m ,127.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/192987/intel-core-i99880h-processor-16m-cache-up-to-4-80-ghz.html,intel core i99880h processor 16m ,45.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/191789/intel-core-i99900-processor-16m-cache-up-to-5-00-ghz.html,intel core i99900 processor 16m ,65.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/191044/intel-core-i99900t-processor-16m-cache-up-to-4-40-ghz.html,intel core i99900t processor 16m ,35.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/192990/intel-core-i99980hk-processor-16m-cache-up-to-5-00-ghz.html,intel core i99980hk processor 16m ,45.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/190887/intel-core-i99900kf-processor-16m-cache-up-to-5-00-ghz.html,intel core i99900kf processor 16m ,95.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/186605/intel-core-i99900k-processor-16m-cache-up-to-5-00-ghz.html,intel core i99900k processor 16m ,95.0,,,,
