,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Product ID MPK","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","All Core Boost Speed","Total L1 Cache","Total L2 Cache","Total L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","Socket Count","PCI Express® Version","Thermal Solution PIB","Thermal Solution MPK","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Per Socket Mem BW","Graphics Frequency","GPU Base","Graphics Model","Supported Technologies","Workload Affinity"
,on,"AMD Ryzen™ 5 6600H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000546 FP7r2:	100-000000562",,,,6,12,6,3.3GHz,"Up to 4.5GHz",,384KB,3MB,16MB,No,"TSMC 6nm FinFET",FP7,,"PCIe® 4.0",,,45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"1900 MHz",,"AMD Radeon™ 660M",,
,on,"AMD Ryzen™ Threadripper™ PRO 3945WX","AMD Ryzen™ PRO Processors","AMD Ryzen™ Threadripper™ PRO Processors",Desktop,100-000000168,,,7/14/2020,12,24,,4.0GHz,"Up to 4.3GHz",,768KB,6MB,64MB,No,"TSMC 7nm FinFET",,1P,"PCIe 4.0",,,280W,,90°C,"Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,8,,,,"Discrete Graphics Card Required","AMD ""Zen"" Core Architecture",
,on,"AMD Ryzen™ 9 5980HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,100-000000474,,,1/12/2021,8,16,8,3.3GHz,"Up to 4.8GHz",,,4MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,45+W,35-54W,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"2100 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
,on,"AMD Ryzen™ 5 6600HS​","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000546 FP7r2:	100-000000562",,,,6,12,6,3.3GHz,"Up to 4.5GHz",,384KB,3MB,16MB,No,"TSMC 6nm FinFET",FP7,,"PCIe® 4.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"1900 MHz",,"AMD Radeon™ 660M",,
,on,"AMD Ryzen™ Threadripper™ 3990X","AMD Ryzen™ Processors","AMD Ryzen™ Threadripper™ Processors","Boxed Processor",100-000000163,100-100000163WOF,,,64,128,,2.9GHz,"Up to 4.3GHz",,4096KB,32MB,256MB,Yes,"TSMC 7nm FinFET",sTRX4,,"PCIe 4.0","Cooler Not Included, Liquid Cooling Recommended",,280W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,4,,,,"Discrete Graphics Card Required","AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility",
,on,"AMD Ryzen™ 9 5980HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,100-000000474,,,1/12/2021,8,16,8,3.0GHz,"Up to 4.8GHz",,,4MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,35W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"2100 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
,on,"AMD Ryzen™ 5 6600U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000536 FP7r2:	100-000000548",,,,6,12,6,2.9GHz,"Up to 4.5GHz",,384KB,3MB,16MB,No,"TSMC 6nm FinFET",FP7,,"PCIe® 4.0",,,,15-28W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"1900 MHz",,"AMD Radeon™ 660M",,
,on,"AMD Ryzen™ 7 5825U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,100-000000580,,,,8,16,8,2.0GHz,"Up to 4.5GHz",,512KB,4MB,16MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"2000 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ Threadripper™ 3970X","AMD Ryzen™ Processors","AMD Ryzen™ Threadripper™ Processors","Boxed Processor",100-000000011,100-100000011WOF,,11/25/2019,32,64,,3.7GHz,"Up to 4.5GHz",,2048KB,16MB,128MB,Yes,"TSMC 7nm FinFET",sTRX4,,"PCIe 4.0","Not included",,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,4,,,,"Discrete Graphics Card Required","AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility",
,on,"AMD Ryzen™ 9 5900HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,100-000000300,,,1/12/2021,8,16,8,3.3GHz,"Up to 4.6GHz",,,4MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,45+W,35-54W,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"2100 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
,on,"AMD Ryzen™ 9 5900HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,100-000000300,,,1/12/2021,8,16,,3.0GHz,"Up to 4.6GHz",,8KB,4MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,35W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"2100 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
,on,"AMD Ryzen™ Threadripper™ 3960X","AMD Ryzen™ Processors","AMD Ryzen™ Threadripper™ Processors","Boxed Processor",100-000000010,100-100000010WOF,,11/25/2019,24,48,,3.8GHz,"Up to 4.5GHz",,1536KB,12MB,128MB,Yes,"TSMC 7nm FinFET",sTRX4,,"PCIe 4.0","Not included",,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,4,,,,"Discrete Graphics Card Required","AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility",
,on,"AMD Ryzen™ 7 5800H","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,100-000000295,,,1/12/2021,8,16,8,3.2GHz,"Up to 4.4GHz",,,4MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,45W,35-54W,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"2000 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
,on,"AMD Ryzen™ 5 5625U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000583,,,,6,12,7,2.3GHz,"Up to 4.3GHz",,384KB,3MB,16MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"1800 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 5800HS","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,100-000000295,,,1/12/2021,8,16,8,2.8GHz,"Up to 4.4GHz",,,4MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,35W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"2000 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
