,Model,Default TDP,AMD Configurable TDP (cTDP),GPU Base
163,AMD Ryzen™ 7 PRO 4750GE,35.0,,
164,AMD Ryzen™ 5 PRO 4650G,65.0,45-65W,
165,AMD Ryzen™ 5 PRO 4650GE,35.0,,
166,AMD Ryzen™ 3 PRO 4350G,65.0,45-65W,
167,AMD Ryzen™ 3 PRO 4350GE,35.0,,
168,AMD Ryzen™ 5 1600,65.0,,
169,AMD Ryzen™ 5 1600 (AF),65.0,,
170,AMD Ryzen™ 5 PRO 3400G,65.0,45-65W,
171,AMD Ryzen™ 5 1500X,65.0,,
172,AMD Ryzen™ 5 PRO 3400GE,35.0,,
173,AMD Ryzen™ 5 PRO 3350G,65.0,45-65W,
174,AMD Ryzen™ 5 PRO 3350GE,35.0,,
175,AMD Ryzen™ 3 PRO 3200G,65.0,45-65W,
176,AMD Ryzen™ 5 1400,65.0,,
177,AMD Ryzen™ 3 PRO 3200GE,35.0,,
178,AMD Ryzen™ 3 1300X,65.0,,
179,AMD Athlon™ Gold PRO 3150G,65.0,45-65W,
180,AMD Athlon™ Gold PRO 3150GE,35.0,,
181,AMD Athlon™ Silver PRO 3125GE,35.0,,
182,AMD Ryzen™ 3 1200,65.0,,
183,AMD Athlon™ PRO 300GE,35.0,,
184,AMD Ryzen™ 7 PRO 2700X,95.0,,
185,AMD Ryzen™ 7 PRO 4750U,15.0,,
186,AMD Ryzen™ 7 PRO 2700,65.0,,
187,AMD Ryzen™ 5 PRO 4650U,15.0,,
188,AMD Ryzen™ 3 PRO 4450U,15.0,,
189,AMD Ryzen™ 7 PRO 1700X Processor,95.0,,
190,AMD Ryzen™ 7 PRO 3700U,15.0,12-25W,
191,AMD Ryzen™ 5 PRO 3500U,15.0,12-25W,
192,AMD Ryzen™ 7 PRO 1700,65.0,,
193,AMD Ryzen™ 5 PRO 2600,65.0,,
194,AMD Athlon™ PRO 3145B,15.0,12-25W,
195,AMD Ryzen™ 3 PRO 3300U,15.0,12-25W,
196,AMD Athlon™ PRO 3045B,15.0,12-25W,
197,AMD Ryzen™ 5 PRO 1600,65.0,,
198,AMD Athlon™ PRO 300U Mobile Processor with Radeon™ Vega 3 Graphics,15.0,12-25W,
199,AMD Ryzen™ 5 PRO 1500,65.0,,
200,AMD Ryzen™ 7 PRO 2700U,15.0,12-25W,
201,AMD Ryzen™ 5 PRO 2400G with Radeon™ Vega 11 Graphics,65.0,46-65W,
202,AMD Ryzen™ 5 PRO 2400GE with Radeon™ Vega 11 Graphics,35.0,n/aW,
203,AMD Ryzen™ 3 PRO 1300,65.0,,
204,AMD Ryzen™ 5 PRO 2500U,15.0,12-25W,
205,AMD Ryzen™ 3 PRO 2200G with Radeon™ Vega 8 Graphics,65.0,46-65W,
206,AMD Ryzen™ 3 PRO 2200GE with Radeon™ Vega 8 Graphics,35.0,n/aW,
207,AMD Ryzen™ 3 PRO 1200,65.0,,
208,AMD Ryzen™ 3 PRO 2300U,15.0,12-25W,
209,7th Gen AMD PRO A4-5350B APU,15.0,10-15WW,847 MHz
210,7th Gen AMD PRO A4-4350B APU,15.0,,655 MHz
211,7th Gen AMD PRO A6-8350B APU,15.0,10-15WW,900 MHz
212,7th Gen AMD PRO A6-7350B APU,15.0,,847 MHz
213,7th Gen A12-9800 APU,65.0,,
214,7th Gen A12-9800E APU,35.0,,
215,7th Gen A10-9700 APU,65.0,45/65W,
216,7th Gen A10-9700E APU,35.0,,
217,7th Gen A8-9600 APU,65.0,45/65W,
218,7th Gen A6-9550 APU,65.0,45/65W,
219,7th Gen A6-9500 APU,65.0,45/65W,
220,7th Gen A6-9500E APU,35.0,,
221,7th Gen A12-9730P APU,35.0,25-45WW,
222,7th Gen A12-9700P APU,15.0,12-15WW,
223,7th Gen A10-9630P APU,35.0,25-45WW,
224,7th Gen A10-9600P APU,15.0,12-15WW,
225,7th Gen A9-9425 APU,15.0,10-15W,
226,7th Gen A9-9420 APU,15.0,10-15WW,
227,7th Gen A9-9410 APU,10.0,,
228,7th Gen A6-9225 APU,15.0,10-15W,
229,7th Gen A6-9220 APU,15.0,10-15WW,
230,7th Gen A6-9220C APU,6.0,,
231,7th Gen A6-9210 APU,15.0,,
232,7th Gen A4-9125 APU,15.0,10-15WW,
233,7th Gen A4-9120 APU,15.0,10-15WW,
234,7th Gen A4-9120C APU,6.0,,
235,7th Gen AMD PRO A12-9800 APU,65.0,,
236,7th Gen AMD PRO A12-9800E APU,35.0,,
237,7th Gen AMD PRO A10-9700 APU,65.0,45W/65WW,
238,7th Gen AMD PRO A10-9700E APU,35.0,,
239,7th Gen AMD PRO A8-9600 APU,65.0,45W/65WW,
240,7th Gen AMD PRO A6-9500 APU,65.0,45W/65WW,
241,7th Gen AMD PRO A6-9500E APU,35.0,,
242,7th Gen AMD PRO A12-9830B APU,35.0,25W/45WW,
243,7th Gen AMD PRO A12-9800B APU,15.0,12W/15WW,
244,7th Gen AMD PRO A10-9730B APU,35.0,25W/45WW,
245,7th Gen AMD PRO A10-9700B APU,15.0,12W/15WW,
246,7th Gen AMD PRO A8-9630B,35.0,25W/45WW,
247,7th Gen AMD PRO A8-9600B APU,15.0,12W/15WW,
248,7th Gen AMD PRO A6-9500B APU,15.0,12W/15WW,
249,7th Gen FX™ 9830P APU,35.0,25-45WW,
250,7th Gen FX™ 9800P APU,15.0,12-15WW,
251,7th Gen E2-9010 APU,15.0,10-15WW,
252,6th Gen A10-8700P APU,15.0,,
253,6th Gen A8-8600P APU,15.0,,
254,6th Gen AMD PRO A12-8870 APU,65.0,,
255,6th Gen AMD PRO A12-8870E APU,35.0,,
256,6th Gen AMD PRO A10-8850B APU,95.0,,
257,6th Gen AMD PRO A10-8770 APU,65.0,,
258,6th Gen AMD PRO A10-8770E APU,35.0,,
259,6th Gen AMD PRO A10-8750B APU,65.0,45W/65WW,
260,6th Gen AMD PRO A8-8650B APU,65.0,45W/65WW,
261,6th Gen AMD PRO A6-8570 APU,65.0,,
262,6th Gen AMD PRO A6-8570E APU,35.0,,
263,6th Gen AMD PRO A6-8550B APU,65.0,45W/65WW,
264,6th Gen AMD PRO A4-8350B APU,65.0,45W/65WW,
265,6th Gen AMD PRO A12-8830B APU,,12W/15WW,
266,6th Gen AMD PRO A12-8800B APU,15.0,,
267,6th Gen AMD PRO A10-8730B APU,,12W/15WW,
268,6th Gen AMD PRO A10-8700B APU,15.0,,
269,6th Gen AMD PRO A8-8600B APU,15.0,,
270,6th Gen AMD PRO A6-8530B APU,,12W/15WW,
271,6th Gen AMD PRO A6-8500B APU,15.0,,
272,6th Gen FX-8800P APU,15.0,,
273,A10-7890K with Radeon™ R7 Graphics and Wraith cooler,95.0,,
274,A10-7870K with Radeon™ R7 Series,95.0,,
275,A10-7870K with Radeon™ R7 Graphics and Near Silent Thermal Solution,95.0,,
276,A10-7860K with Radeon™ R7 Series,65.0,45W/65WW,
277,A10-7860K with Radeon™ R7 Graphics and Near Silent Thermal Solution,65.0,45W/65WW,
278,A10-7850K with Radeon™ R7 Series,95.0,,
279,A10-7800 with Radeon™ R7 Series,,45W/65WW,
280,A10-7700K with Radeon™ R7 Series,,45W/65WW,
281,A10-6800K with Radeon™ HD 8670D,100.0,,
282,A10-6790K with Radeon™ HD 8670D,100.0,,
283,A10-6700 with Radeon™ HD 8670D,65.0,,
284,A10-6700T with Radeon™ HD 8650D,45.0,,
285,AMD EPYC™ 7763,280.0,225-280W,
286,AMD EPYC™ 7713P,225.0,225-240W,
287,AMD EPYC™ 7713,225.0,225-240W,
288,AMD EPYC™ 7663,240.0,225-240W,
289,AMD EPYC™ 7643,225.0,225-240W,
290,AMD EPYC™ 75F3,280.0,225-280W,
291,AMD EPYC™ 7543P,225.0,225-240W,
292,AMD EPYC™ 7543,225.0,225-240W,
293,AMD EPYC™ 7513,200.0,165-200W,
294,AMD EPYC™ 7453,225.0,225-240W,
295,AMD EPYC™ 74F3,240.0,225-240W,
296,AMD EPYC™ 7443P,200.0,165-200W,
297,AMD EPYC™ 7443,200.0,165-200W,
298,AMD EPYC™ 7413,180.0,165-200W,
299,AMD EPYC™ 73F3,240.0,225-240W,
300,AMD EPYC™ 7343,190.0,165-200W,
301,AMD EPYC™ 7313P,155.0,155-180W,
302,AMD EPYC™ 7313,155.0,155-180W,
303,A8-7670K with Radeon™ R7 Graphics and Near Silent Thermal Solution,95.0,,
304,AMD EPYC™ 72F3,180.0,165-200W,
305,AMD EPYC™ 7F72,240.0,,
306,AMD EPYC™ 7F52,240.0,,
307,A8-7650K with Radeon™ R7 Series,95.0,,
308,AMD EPYC™ 7F32,180.0,,
309,AMD EPYC™ 7H12,280.0,,
310,AMD EPYC™ 7742,225.0,,
311,A8-7650K with Radeon™ R7 Graphics and Near Silent Thermal Solution,95.0,,
312,A8-7600 with Radeon™ R7 Series,65.0,45W/65WW,
313,AMD EPYC™ 7702,200.0,,
314,A8-6600K with Radeon™ HD 8570D,65.0,,
315,AMD EPYC™ 7702P,200.0,,
316,AMD EPYC™ 7662,225.0,,
317,A8-6500 with Radeon™ HD 8570D,65.0,,
318,AMD EPYC™ 7642,225.0,,
319,A8-6500T with Radeon™ HD 8550D,45.0,,
320,AMD EPYC™ 7552,200.0,,
321,AMD EPYC™ 7542,225.0,,
322,AMD EPYC™ 7532,200.0,,
323,AMD EPYC™ 7502,180.0,,
324,AMD EPYC™ 7502P,180.0,,
325,AMD EPYC™ 7452,155.0,,
326,AMD EPYC™ 7402,180.0,,
327,AMD EPYC™ 7402P,180.0,,
328,A6-7470K with Radeon™ R5 Series,65.0,45W/65WW,
329,AMD EPYC™ 7352,155.0,,
330,AMD EPYC™ 7302,155.0,,
331,A6-7400K with Radeon™ R5 Series,65.0,45W/65WW,
332,AMD EPYC™ 7302P,155.0,,
333,A6-6420K with Radeon™ HD 8470D,65.0,,
334,AMD EPYC™ 7282,120.0,,
335,A6-6310 with Radeon™ R4 Graphics,15.0,,
336,AMD EPYC™ 7272,120.0,,
337,A6-6400K with Radeon™ HD 8470D,65.0,,
338,AMD EPYC™ 7262,155.0,,
339,A6-5200 with Radeon™ HD 8400,25.0,,
340,AMD EPYC™ 7252,120.0,,
341,AMD EPYC™ 7232P,120.0,,
342,AMD EPYC™ 7601,180.0,,
343,AMD EPYC™ 7551P,180.0,,
344,AMD EPYC™ 7551,180.0,,
345,AMD EPYC™ 7501,155.0,,
346,AMD EPYC™ 7451,180.0,,
347,A4-7300 with Radeon™ HD 8470D,65.0,,
348,AMD EPYC™ 7401P,155.0,,
349,A4-6320 with Radeon™ HD 8370D,65.0,,
350,AMD EPYC™ 7401,155.0,,
351,A4-6300 with Radeon™ HD 8370D,65.0,,
352,AMD EPYC™ 7371,200.0,,
353,AMD EPYC™ 7351P,155.0,,
354,AMD EPYC™ 7351,155.0,,
355,A4-5100 with Radeon™ HD 8330,15.0,,
356,AMD EPYC™ 7301,155.0,,
357,AMD EPYC™ 7281,155.0,,
358,A4-5000 with Radeon™ HD 8330,15.0,,
359,AMD EPYC™ 7261,155.0,,
360,AMD EPYC™ 7251,120.0,,
361,FX-9590,220.0,,
362,FX-9370,220.0,,
363,FX-8370 with Wraith cooler,125.0,,
364,FX-8370E,95.0,,
365,A10-7400P with Radeon™ R6 Graphics,35.0,,
366,FX-8370,125.0,,
367,A10-7300 with Radeon™ R6 Graphics,20.0,,
368,FX-8350 with Wraith cooler,125.0,,
369,FX-8350,125.0,,
370,A10 Micro-6700T with Radeon™ R6 Graphics,4.5,,
371,FX-8320E,95.0,,
372,FX-8320,125.0,,
373,FX-8310,95.0,,
374,FX-8300,95.0,,
375,FX-8150,125.0,,
376,A8-7410 with Radeon™ R5 Graphics,15.0,,
377,FX-8120,125.0,,
378,FX-6350 with Wraith cooler,125.0,,
379,A8-7200P with Radeon™ R5 Graphics,100.0,,
380,FX-6350,125.0,,
381,A8-7100 with Radeon™ R5 Graphics,20.0,,
382,FX-6300,95.0,,
383,A8-6410 with Radeon™ R5 Graphics,15.0,,
384,FX-6200,125.0,,
385,FX 6100,95.0,,
386,FX-4350,125.0,,
387,FX-4320,95.0,,
388,FX-4300,95.0,,
389,FX-4170,125.0,,
390,FX-4130,125.0,,
391,FX-4100,95.0,,
392,1075T,95.0,,
393,1045T,95.0,,
394,A6-8500P with Radeon™ R5 Graphics,15.0,,
395,980,125.0,,
396,A6-7310 with Radeon™ R4 Graphics,15.0,,
397,A6-7310 with Radeon™ R4 Graphics,15.0,,
398,975,125.0,,
399,A6-7000 with Radeon™ R4 Graphics,17.0,,
400,965,80.0,,
401,A6-6310 with Radeon™ R4 Graphics,15.0,,
402,960T,95.0,,
403,850,95.0,,
404,840,95.0,,
405,A6-5350M with Radeon™ HD 8450G,35.0,,
406,570,80.0,,
407,565,80.0,,
408,A6-5200M with Radeon™ HD 8400,25.0,,
409,555,80.0,,
410,565,80.0,,
411,X940,45.0,,
412,N970,35.0,,
413,N960,35.0,,
414,N870,35.0,,
415,P860,35.0,,
416,N660,35.0,,
417,A4-7210 with Radeon™ R3 Graphics,65.0,,
418,A4 Micro-6400T with Radeon™ R3 Graphics,4.5,,
419,P650,35.0,,
420,A4-6210 with Radeon™ R3 Graphics,15.0,,
421,N640,35.0,,
422,B99,95.0,,
423,B97,95.0,,
424,B95,95.0,,
425,A4-5100 with Radeon™ HD 8330,15.0,,
426,B77,95.0,,
427,A4-5000 with Radeon™ HD 8330,15.0,,
428,B75,95.0,,
429,B60,80.0,,
430,B59,80.0,,
431,B57,80.0,,
432,641,100.0,,
433,638,65.0,,
434,631,100.0,,
435,631,65.0,,
436,620e,45.0,,
437,460,95.0,,
438,425e,45.0,,
439,255e,45.0,,
440,A10-8700P with Radeon™ R6 Graphics,,,
441,7th Gen AMD Athlon™ X4 970,65.0,,
442,A8-8600P with Radeon™ R6 Graphics,,,
443,A8-6410 with Radeon™ R5 Graphics,,,
444,7th Gen AMD Athlon™ X4 950,,45/65W,
445,7th Gen AMD Athlon™ X4 940,,45/65W,
